id,LINDC+,LDCH,LD2S1,LD3S1,LNM,LINN,overshoot,damping
14,3.472113106343895e-08,5.824911120543257e-08,3.201479386994615e-08,2.3132683179769665e-08,4.502795610316098e-09,1.1801058211345225e-08,1755.9893,0.26723432540893555
15,4.237150671871379e-08,7.017382851783186e-08,3.5654581588823344e-08,2.675964943725616e-08,2.441329971276224e-08,1.1801058211345225e-08,1747.5906,0.24287860095500946
16,4.701740296825766e-08,1.648860150771216e-08,1.576015062250197e-08,5.154418307244777e-08,2.1240486468970776e-08,3.820225849468261e-08,1585.8782,0.22685936093330383
17,5.8844982959330085e-09,1.648860150771216e-08,1.576015062250197e-08,5.154418307244777e-08,2.1240486468970776e-08,3.820225849468261e-08,1483.1439,0.2213842272758484
18,4.701740296825766e-08,4.075118123870343e-08,1.576015062250197e-08,5.154418307244777e-08,2.1240486468970776e-08,3.820225849468261e-08,1760.6296,0.2536330819129944
19,4.701740296825766e-08,1.648860150771216e-08,5.024208205865696e-08,5.154418307244777e-08,2.1240486468970776e-08,3.820225849468261e-08,1804.9622,0.24445678293704987
20,4.701740296825766e-08,1.648860150771216e-08,1.576015062250197e-08,3.607592871841043e-09,2.1240486468970776e-08,3.820225849468261e-08,1174.738,0.02288491278886795
21,4.701740296825766e-08,1.648860150771216e-08,1.576015062250197e-08,5.154418307244777e-08,8.660953767541796e-09,3.820225849468261e-08,1725.0408,0.028907669708132744
22,4.701740296825766e-08,1.648860150771216e-08,1.576015062250197e-08,5.154418307244777e-08,2.1240486468970776e-08,1.9417074172236025e-08,1748.9944,0.2539013624191284
23,5.8844982959330085e-09,4.075118123870343e-08,5.024208205865696e-08,3.607592871841043e-09,8.660953767541796e-09,1.9417074172236025e-08,1290.3033,0.1604492962360382
24,1.6499625565595926e-08,3.6516079664882274e-08,4.989185924723744e-08,4.091102577708662e-09,3.066762115377932e-08,2.2518161388747394e-08,1440.3323,0.22566677629947662
25,3.96065564202331e-08,3.6516079664882274e-08,4.989185924723744e-08,4.091102577708662e-09,3.066762115377932e-08,2.2518161388747394e-08,1547.1841,0.2259988635778427
26,1.6499625565595926e-08,3.256691898619756e-08,4.989185924723744e-08,4.091102577708662e-09,3.066762115377932e-08,2.2518161388747394e-08,1207.937,0.13816124200820923
27,1.6499625565595926e-08,3.6516079664882274e-08,1.3356812041904776e-08,4.091102577708662e-09,3.066762115377932e-08,2.2518161388747394e-08,1295.072,0.0
28,1.6499625565595926e-08,3.6516079664882274e-08,4.989185924723744e-08,3.6877295529637484e-08,3.066762115377932e-08,2.2518161388747394e-08,1803.2031,0.24836532771587372
29,1.6499625565595926e-08,3.6516079664882274e-08,4.989185924723744e-08,4.091102577708662e-09,3.5735061896387484e-08,2.2518161388747394e-08,1457.7687,0.2187425047159195
30,1.6499625565595926e-08,3.6516079664882274e-08,4.989185924723744e-08,4.091102577708662e-09,3.066762115377932e-08,4.159017972212284e-08,1397.9454,0.2182830274105072
31,3.96065564202331e-08,3.256691898619756e-08,1.3356812041904776e-08,3.6877295529637484e-08,3.5735061896387484e-08,4.159017972212284e-08,1605.6104,0.23296134173870087
32,2.6606688214577736e-08,2.311925709620118e-09,4.0409106464162463e-08,1.2241726546622813e-08,4.072386978771537e-08,4.8006135671772065e-09,529.99927,0.04301563277840614
33,9.66143671337515e-09,2.311925709620118e-09,4.0409106464162463e-08,1.2241726546622813e-08,4.072386978771537e-08,4.8006135671772065e-09,506.48145,0.04583296179771423
34,2.6606688214577736e-08,5.028240907751024e-08,4.0409106464162463e-08,1.2241726546622813e-08,4.072386978771537e-08,4.8006135671772065e-09,1697.9849,0.2482627034187317
35,2.6606688214577736e-08,2.311925709620118e-09,4.431072589077055e-08,1.2241726546622813e-08,4.072386978771537e-08,4.8006135671772065e-09,529.5751,0.043413445353507996
36,2.6606688214577736e-08,2.311925709620118e-09,4.0409106464162463e-08,1.8214283695183694e-08,4.072386978771537e-08,4.8006135671772065e-09,688.2737,0.25470855832099915
37,2.6606688214577736e-08,2.311925709620118e-09,4.0409106464162463e-08,1.2241726546622813e-08,7.160008644871414e-10,4.8006135671772065e-09,571.95996,0.17867262661457062
38,2.6606688214577736e-08,2.311925709620118e-09,4.0409106464162463e-08,1.2241726546622813e-08,4.072386978771537e-08,3.257872587814927e-08,806.7134,0.3288281261920929
39,9.66143671337515e-09,5.028240907751024e-08,4.431072589077055e-08,1.8214283695183694e-08,7.160008644871414e-10,3.257872587814927e-08,1720.3196,0.24509038031101227
40,5.1108698672652244e-08,5.2698903633840386e-08,6.383508874326944e-09,4.425412016637623e-08,1.9408777477368714e-08,4.8021530815083533e-08,1593.7446,0.24997812509536743
41,2.9374117519203575e-08,5.2698903633840386e-08,6.383508874326944e-09,4.425412016637623e-08,1.9408777477368714e-08,4.8021530815083533e-08,1700.3015,0.24254962801933289
42,5.1108698672652244e-08,2.3113485641125593e-08,6.383508874326944e-09,4.425412016637623e-08,1.9408777477368714e-08,4.8021530815083533e-08,1557.9307,0.2285182774066925
43,5.1108698672652244e-08,5.2698903633840386e-08,5.546575308777392e-09,4.425412016637623e-08,1.9408777477368714e-08,4.8021530815083533e-08,1539.414,0.24386979639530182
44,5.1108698672652244e-08,5.2698903633840386e-08,6.383508874326944e-09,5.323273392997682e-08,1.9408777477368714e-08,4.8021530815083533e-08,1835.741,0.26059862971305847
45,5.1108698672652244e-08,5.2698903633840386e-08,6.383508874326944e-09,4.425412016637623e-08,2.9521186701934784e-08,4.8021530815083533e-08,2030.4089,0.26973772048950195
46,5.1108698672652244e-08,5.2698903633840386e-08,6.383508874326944e-09,4.425412016637623e-08,1.9408777477368714e-08,2.509051424153149e-08,1677.3572,0.23193129897117615
47,2.9374117519203575e-08,2.3113485641125593e-08,5.546575308777392e-09,5.323273392997682e-08,2.9521186701934784e-08,2.509051424153149e-08,1697.8611,0.023508304730057716
48,3.750689181376248e-08,2.4248588496260347e-08,4.49375416132994e-08,1.7555173202920705e-08,8.64491475816816e-09,3.3361654884871094e-08,1566.6892,0.23676832020282745
49,2.0601156733259558e-08,2.4248588496260347e-08,4.49375416132994e-08,1.7555173202920705e-08,8.64491475816816e-09,3.3361654884871094e-08,1310.4723,0.18483524024486542
50,3.750689181376248e-08,1.709424980925396e-08,4.49375416132994e-08,1.7555173202920705e-08,8.64491475816816e-09,3.3361654884871094e-08,1316.8036,0.1965489387512207
51,3.750689181376248e-08,2.4248588496260347e-08,1.8469375728257e-08,1.7555173202920705e-08,8.64491475816816e-09,3.3361654884871094e-08,1173.6647,0.1830444633960724
52,3.750689181376248e-08,2.4248588496260347e-08,4.49375416132994e-08,2.8225520322937518e-08,8.64491475816816e-09,3.3361654884871094e-08,1734.5396,0.2344583421945572
53,3.750689181376248e-08,2.4248588496260347e-08,4.49375416132994e-08,1.7555173202920705e-08,4.4709353091903025e-08,3.3361654884871094e-08,1630.9927,0.22788558900356293
54,3.750689181376248e-08,2.4248588496260347e-08,4.49375416132994e-08,1.7555173202920705e-08,8.64491475816816e-09,7.158584424015135e-09,1290.2042,0.1993379145860672
55,2.0601156733259558e-08,1.709424980925396e-08,1.8469375728257e-08,2.8225520322937518e-08,4.4709353091903025e-08,7.158584424015135e-09,1316.8553,0.19053636491298676
56,1.3867034385353327e-08,6.635012335181236e-08,2.3726765762660653e-08,3.885001574447378e-08,4.374681791476905e-08,1.8117124271076175e-08,1708.0034,0.23386424779891968
57,5.2403400432895866e-08,6.635012335181236e-08,2.3726765762660653e-08,3.885001574447378e-08,4.374681791476905e-08,1.8117124271076175e-08,1825.7144,0.02456846833229065
58,1.3867034385353327e-08,6.062532597780228e-08,2.3726765762660653e-08,3.885001574447378e-08,4.374681791476905e-08,1.8117124271076175e-08,1834.0161,0.2522306442260742
59,1.3867034385353327e-08,6.635012335181236e-08,3.128143443040549e-08,3.885001574447378e-08,4.374681791476905e-08,1.8117124271076175e-08,1838.0476,0.25659435987472534
60,1.3867034385353327e-08,6.635012335181236e-08,2.3726765762660653e-08,8.713314554523676e-09,4.374681791476905e-08,1.8117124271076175e-08,1624.5928,0.23287829756736755
61,1.3867034385353327e-08,6.635012335181236e-08,2.3726765762660653e-08,3.885001574447378e-08,1.6775582058914007e-08,1.8117124271076175e-08,1709.4375,0.25349393486976624
62,1.3867034385353327e-08,6.635012335181236e-08,2.3726765762660653e-08,3.885001574447378e-08,4.374681791476905e-08,5.419042715651914e-08,1823.689,0.25507599115371704
63,5.2403400432895866e-08,6.062532597780228e-08,3.128143443040549e-08,8.713314554523676e-09,1.6775582058914007e-08,5.419042715651914e-08,1730.1196,0.23223517835140228
64,8.44433380484581e-09,1.2901752132922411e-08,4.679960214823484e-08,4.7682192387618124e-08,3.3883937261253594e-09,2.4623752161916346e-08,1454.5625,0.0
65,1.3794465847499668e-08,1.2901752132922411e-08,4.679960214823484e-08,4.7682192387618124e-08,3.3883937261253594e-09,2.4623752161916346e-08,1674.5542,0.0
66,8.44433380484581e-09,4.8497287217713894e-08,4.679960214823484e-08,4.7682192387618124e-08,3.3883937261253594e-09,2.4623752161916346e-08,1719.9426,0.24847224354743958
