id,R_onHS1,R_offHS1,L_onHS1,L_offHS1,L_SKHS1,R_onHS2,R_offHS2,L_onHS2,L_offHS2,L_SKHS2,overshoot_vgs1,damping_vgs1,vgs1_min,overshoot_vgs2,damping_vgs2,vgs2_min
1885,8.090108781121671,12.533250565640628,1.1457067039022222e-08,4.911002966866828e-08,2.0662199640087784e-09,1.4196891486644745,16.117583981715143,4.495498686012812e-08,5.201601151618175e-08,1.1194127056282014e-09,0.68411255,0.001926338649354875,-7.685364,2.293725,0.03668450191617012,-10.675119
1886,16.340558549854904,6.596009093336761,1.1457067039022222e-08,4.911002966866828e-08,2.0662199640087784e-09,1.4196891486644745,16.117583981715143,4.495498686012812e-08,5.201601151618175e-08,1.1194127056282014e-09,0.6087036,0.0021770158782601357,-8.046631,2.2940388,0.036687612533569336,-10.700671
1887,16.340558549854904,12.533250565640628,4.0446553688198326e-08,4.911002966866828e-08,2.0662199640087784e-09,1.4196891486644745,16.117583981715143,4.495498686012812e-08,5.201601151618175e-08,1.1194127056282014e-09,0.6763611,0.0026163572911173105,-9.069397,2.2938833,0.036683570593595505,-10.419983
1888,16.340558549854904,12.533250565640628,1.1457067039022222e-08,8.68944422067143e-09,2.0662199640087784e-09,1.4196891486644745,16.117583981715143,4.495498686012812e-08,5.201601151618175e-08,1.1194127056282014e-09,0.5402832,1.2616377716767602e-05,-7.1883545,2.2935362,0.036677852272987366,-10.336685
1889,16.340558549854904,12.533250565640628,1.1457067039022222e-08,4.911002966866828e-08,4.042973102821037e-08,1.4196891486644745,16.117583981715143,4.495498686012812e-08,5.201601151618175e-08,1.1194127056282014e-09,0.87054443,0.005322066601365805,-9.809265,2.2941074,0.03668605163693428,-10.046402
1890,16.340558549854904,12.533250565640628,1.1457067039022222e-08,4.911002966866828e-08,2.0662199640087784e-09,18.374450769275427,16.117583981715143,4.495498686012812e-08,5.201601151618175e-08,1.1194127056282014e-09,0.5463867,1.8554266716819257e-05,-7.659668,0.5115118,0.00015290379815269262,-10.515897
1891,16.340558549854904,12.533250565640628,1.1457067039022222e-08,4.911002966866828e-08,2.0662199640087784e-09,1.4196891486644745,19.291350347921252,4.495498686012812e-08,5.201601151618175e-08,1.1194127056282014e-09,0.54644775,3.8585894799325615e-05,-8.094727,2.4209175,0.03954485431313515,-10.05999
1892,16.340558549854904,12.533250565640628,1.1457067039022222e-08,4.911002966866828e-08,2.0662199640087784e-09,1.4196891486644745,16.117583981715143,4.0682921277675776e-08,5.201601151618175e-08,1.1194127056282014e-09,0.54644775,3.338853639434092e-05,-8.078186,2.3528938,0.03699154406785965,-9.885823
1893,16.340558549854904,12.533250565640628,1.1457067039022222e-08,4.911002966866828e-08,2.0662199640087784e-09,1.4196891486644745,16.117583981715143,4.495498686012812e-08,1.8900292899739e-09,1.1194127056282014e-09,0.54815674,1.8535296476329677e-05,-8.049561,2.373664,0.03448665887117386,-8.459516
1894,16.340558549854904,12.533250565640628,1.1457067039022222e-08,4.911002966866828e-08,2.0662199640087784e-09,1.4196891486644745,16.117583981715143,4.495498686012812e-08,5.201601151618175e-08,5.1734597066622225e-08,0.5450134,8.15807197795948e-06,-8.173523,3.9515095,0.04273087903857231,-11.416208
